[2026-04-05T18:50:33.233Z] POSTED | account=test | group=https://www.facebook.com/groups/1082113493655330 | image=1773133437301.png
[2026-04-05T18:55:56.852Z] POSTED | account=test | group=https://www.facebook.com/groups/1082113493655330 | image=1773133437301.png
[2026-04-05T19:01:17.086Z] POSTED | account=test | group=https://www.facebook.com/groups/1082113493655330 | image=1773133437301.png
[2026-04-05T19:08:38.577Z] SKIPPED | account=test | group=https://www.facebook.com/groups/1082113493655330 | reason=Post not detected within timeout
[2026-04-05T19:12:19.819Z] POSTED | account=test | group=https://www.facebook.com/groups/1082113493655330 | image=1773133437301.png
[2026-04-05T19:20:32.704Z] SKIPPED | account=test | group=https://www.facebook.com/groups/1082113493655330 | reason=Could not find Post button
[2026-04-05T19:21:59.939Z] SKIPPED | account=test | group=https://www.facebook.com/groups/1082113493655330 | reason=Could not find Post button
[2026-04-05T19:33:56.784Z] SKIPPED | account=test | group=https://www.facebook.com/groups/1082113493655330 | reason=Post not detected within timeout
[2026-04-05T19:36:42.623Z] SKIPPED | account=test | group=https://www.facebook.com/groups/1082113493655330 | reason=Could not find Post button
[2026-04-05T19:39:03.016Z] POSTED | account=test | group=https://www.facebook.com/groups/1082113493655330 | image=1773133437301.png
[2026-04-05T19:42:59.837Z] POSTED | account=test | group=https://www.facebook.com/groups/1082113493655330 | image=1773133437301.png
[2026-04-05T19:46:08.385Z] SKIPPED | account=test | group=https://www.facebook.com/groups/1082113493655330 | reason=Could not find post box
[2026-04-05T19:48:03.389Z] SKIPPED | account=test | group=https://www.facebook.com/groups/1082113493655330 | reason=Could not find post box
[2026-04-05T19:51:50.535Z] SKIPPED | account=test | group=https://www.facebook.com/groups/1082113493655330 | reason=Could not find post box
[2026-04-05T19:55:18.646Z] POSTED | account=test | group=https://www.facebook.com/groups/1082113493655330 | image=1773133437301.png
[2026-04-06T11:38:42.005Z] SKIPPED | account=default | group=https://www.facebook.com/groups/1082113493655330 | reason=Could not find post box
[2026-04-06T11:44:47.007Z] SKIPPED | account=default | group=https://www.facebook.com/groups/1082113493655330 | reason=Could not find post box
[2026-04-06T11:46:08.514Z] SKIPPED | account=default | group=https://www.facebook.com/groups/3107984135917675 | reason=Could not find post box
[2026-04-06T11:48:42.796Z] POSTED | account=default | group=https://www.facebook.com/groups/116785759019866 | image=ads2.png
[2026-04-06T11:51:41.768Z] POSTED | account=default | group=https://www.facebook.com/groups/119193998719316 | image=ef799400-2580-11f1-a6d7-71770282411f.png
[2026-04-06T11:53:37.327Z] SKIPPED | account=default | group=https://www.facebook.com/groups/566819252406079 | reason=Could not find post box
